clique_id,lemma,upos,affix,stem,synonyms,hypernyms
1,ireland,NNP,NA,ireland,Eire|Emerald Isle|Hibernia|Ireland|Irish Republic|Republic of Ireland,
1,have,VBZ,s,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
1,be,VBN,en,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
1,inhabit,VBN,ed,inhabit,dwell|inhabit|live|populate,be|exist
1,very,RB,NA,veri,rattling|real|really|very,NA
1,ancient,JJ,NA,ancient,ancient,
1,time,NNS,s,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
1,irish,JJ,NA,irish,Irish,
1,history,NN,NA,histori,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
1,really,RB,NA,realli,actually|genuinely|in truth|rattling|real|really|truly|very,NA
1,begin,VBZ,s,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
1,arrival,NN,NA,arriv,arrival|arriver|comer|reaching,accomplishment|achievement|action|traveler|traveller
1,celt,NNP,s,celt,Celt|Kelt,European
1,6,CD,NA,6,NA,NA
1,th,NN,NA,th,atomic number 90|Th|thorium|Thursday,weekday|metallic element|metal
1,century,NN,NA,centuri,100|C|century|hundred|one C,time period|period of time|period|large integer
1,ireland,NNP,NA,ireland,Eire|Emerald Isle|Hibernia|Ireland|Irish Republic|Republic of Ireland,
1,s,VBZ,NA,NA,,NA
1,first,RB,NA,first,first|first of all|first off|firstly|foremost,NA
1,document,VBN,ed,document,document,record|enter|put down|confirm|corroborate|sustain|substantiate|support|affirm
1,invasion,NN,NA,invas,encroachment|intrusion|invasion,penetration|incursion|entrance|entering|spread|spreading
2,bring,VBD,ed,bring,add|bestow|bring|bring in|contribute|convey|fetch|get|impart|institute|land|lend|make for|play|take|work|wreak,transport|carry|change|alter|modify|make|create|transmit|transfer|channel|channelize|channelise|attract|pull|pull in|draw|draw in|induce|stimulate|cause|have|get
